Wavelength (nm),Energy (eV),e1,e2,n,k
792.80481,1.564067,14.375449,0,3.791497,0
794.381714,1.560962,14.359747,0,3.789426,0
795.958557,1.55787,14.344229,0,3.787378,0
797.535278,1.55479,14.328889,0,3.785352,0
799.111816,1.551723,14.313725,0,3.783348,0
800.688293,1.548668,14.298732,0,3.781366,0
802.264587,1.545625,14.283906,0,3.779406,0
803.84082,1.542594,14.269242,0,3.777465,0
805.416931,1.539575,14.25474,0,3.775545,0
806.99292,1.536569,14.240393,0,3.773644,0
808.568726,1.533574,14.226199,0,3.771763,0
810.144531,1.530591,14.212155,0,3.769901,0
811.720154,1.52762,14.198259,0,3.768058,0
813.295654,1.524661,14.184507,0,3.766232,0
814.871033,1.521713,14.170897,0,3.764425,0
816.44635,1.518777,14.157425,0,3.762635,0
818.021484,1.515853,14.144091,0,3.760863,0
819.596497,1.51294,14.13089,0,3.759108,0
821.171509,1.510038,14.11782,0,3.757369,0
822.746216,1.507148,14.10488,0,3.755646,0
824.320923,1.504269,14.092067,0,3.75394,0
825.895508,1.501401,14.079378,0,3.75225,0
827.46991,1.498544,14.066813,0,3.750575,0
829.04425,1.495698,14.054368,0,3.748916,0
830.618347,1.492864,14.042043,0,3.747271,0
832.192505,1.49004,14.029834,0,3.745642,0
833.766418,1.487227,14.01774,0,3.744027,0
835.340149,1.484425,14.00576,0,3.742427,0
836.913879,1.481634,13.993891,0,3.740841,0
838.487427,1.478853,13.982132,0,3.739269,0
840.060852,1.476084,13.97048,0,3.73771,0
841.634155,1.473324,13.958936,0,3.736166,0
843.207336,1.470575,13.947495,0,3.734635,0
844.780396,1.467837,13.936159,0,3.733117,0
846.353333,1.465109,13.924924,0,3.731611,0
847.926147,1.462391,13.913789,0,3.730119,0
849.49884,1.459684,13.902754,0,3.72864,0
851.071411,1.456987,13.891815,0,3.727173,0
852.643738,1.4543,13.880973,0,3.725718,0
854.216003,1.451623,13.870226,0,3.724275,0
855.788208,1.448957,13.859571,0,3.722845,0
857.360229,1.4463,13.84901,0,3.721426,0
858.932129,1.443653,13.838538,0,3.720019,0
860.503906,1.441016,13.828156,0,3.718623,0
862.0755,1.438389,13.817863,0,3.717239,0
863.646973,1.435772,13.807657,0,3.715866,0
865.218384,1.433164,13.797537,0,3.714504,0
866.789673,1.430566,13.787501,0,3.713152,0
868.360718,1.427978,13.777551,0,3.711812,0
869.931763,1.425399,13.767681,0,3.710483,0
871.502563,1.42283,13.757895,0,3.709164,0
873.073242,1.42027,13.748188,0,3.707855,0
874.64386,1.41772,13.738561,0,3.706556,0
876.214233,1.415179,13.729012,0,3.705268,0
877.784546,1.412647,13.719542,0,3.70399,0
879.354675,1.410125,13.710147,0,3.702722,0
880.924683,1.407612,13.700829,0,3.701463,0
882.494629,1.405108,13.691584,0,3.700214,0
884.064331,1.402613,13.682414,0,3.698975,0
885.633972,1.400127,13.673316,0,3.697745,0
887.20343,1.39765,13.66429,0,3.696524,0
888.772766,1.395182,13.655336,0,3.695313,0
890.34198,1.392723,13.646452,0,3.69411,0
891.911011,1.390273,13.637637,0,3.692917,0
893.47998,1.387832,13.628891,0,3.691733,0
895.048706,1.385399,13.620213,0,3.690557,0
896.617371,1.382976,13.611601,0,3.68939,0
898.185913,1.380561,13.603056,0,3.688232,0
899.754272,1.378154,13.594576,0,3.687082,0
901.322449,1.375756,13.586161,0,3.685941,0
902.890503,1.373367,13.577809,0,3.684808,0
904.458496,1.370986,13.569521,0,3.683683,0
906.026245,1.368614,13.561296,0,3.682566,0
907.593933,1.36625,13.553132,0,3.681458,0
909.161438,1.363894,13.545029,0,3.680357,0
910.728821,1.361547,13.536986,0,3.679264,0
912.296021,1.359208,13.529004,0,3.67818,0
913.863098,1.356877,13.52108,0,3.677102,0
915.429993,1.354555,13.513215,0,3.676033,0
916.996765,1.35224,13.505407,0,3.67497,0
918.563354,1.349934,13.497657,0,3.673916,0
920.129883,1.347636,13.489963,0,3.672868,0
921.696289,1.345345,13.482325,0,3.671829,0
923.26239,1.343063,13.474742,0,3.670796,0
924.828491,1.340789,13.467214,0,3.66977,0
926.394409,1.338523,13.45974,0,3.668752,0
927.960144,1.336264,13.452319,0,3.66774,0
929.525757,1.334014,13.444951,0,3.666736,0
931.091187,1.331771,13.437636,0,3.665738,0
932.656555,1.329535,13.430373,0,3.664747,0
934.22168,1.327308,13.423161,0,3.663763,0
935.786621,1.325088,13.416,0,3.662786,0
937.35144,1.322876,13.408889,0,3.661815,0
938.916199,1.320672,13.401828,0,3.660851,0
940.480774,1.318475,13.394815,0,3.659893,0
942.045105,1.316285,13.387853,0,3.658942,0
943.609375,1.314103,13.380937,0,3.657996,0
945.173523,1.311928,13.374069,0,3.657058,0
946.737427,1.309761,13.367249,0,3.656125,0
948.301147,1.307601,13.360476,0,3.655199,0
949.864868,1.305449,13.353748,0,3.654278,0
