Wavelength (nm),Energy (eV),e1,e2,n,k
710.658203,1.744861,17.243031,0.153478,4.152514,0.01848
712.24054,1.740985,17.214411,0.145479,4.149062,0.017532
713.822693,1.737126,17.186005,0.137725,4.145634,0.016611
715.404785,1.733284,17.157816,0.130211,4.142229,0.015718
716.986816,1.72946,17.129841,0.122937,4.138848,0.014852
718.568726,1.725653,17.102081,0.115898,4.13549,0.014013
720.150513,1.721862,17.074537,0.109092,4.132156,0.0132
721.7323,1.718089,17.047207,0.102518,4.128845,0.012415
723.313904,1.714332,17.020094,0.096171,4.125558,0.011656
724.895386,1.710592,16.993198,0.09005,4.122295,0.010922
726.476868,1.706868,16.966516,0.084152,4.119056,0.010215
728.058228,1.703161,16.940052,0.078475,4.11584,0.009533
729.639465,1.699469,16.913803,0.073016,4.112649,0.008877
731.220581,1.695795,16.887772,0.067774,4.109482,0.008246
732.801636,1.692136,16.861959,0.062744,4.106339,0.00764
734.382568,1.688493,16.836365,0.057927,4.10322,0.007059
735.96344,1.684866,16.810987,0.053318,4.100125,0.006502
737.544189,1.681255,16.78583,0.048916,4.097055,0.00597
739.124878,1.67766,16.760891,0.044718,4.09401,0.005461
740.705383,1.67408,16.736174,0.040723,4.09099,0.004977
742.285828,1.670516,16.711679,0.036928,4.087995,0.004517
743.866211,1.666966,16.687405,0.033331,4.085024,0.00408
745.446411,1.663433,16.663357,0.029931,4.082079,0.003666
747.02655,1.659914,16.639532,0.026724,4.07916,0.003276
748.606628,1.656411,16.615932,0.02371,4.076265,0.002908
750.186584,1.652922,16.592562,0.020885,4.073398,0.002564
751.766418,1.649449,16.56942,0.018248,4.070556,0.002242
753.34613,1.64599,16.546509,0.015798,4.06774,0.001942
754.925781,1.642546,16.52383,0.013532,4.064952,0.001664
756.50531,1.639116,16.501389,0.011448,4.06219,0.001409
758.084717,1.635701,16.479183,0.009544,4.059456,0.001176
759.664063,1.6323,16.45722,0.007819,4.05675,0.000964
761.243286,1.628914,16.435499,0.006271,4.054072,0.000773
762.822388,1.625542,16.414028,0.004898,4.051423,0.000604
764.401367,1.622184,16.392809,0.003698,4.048803,0.000457
765.980286,1.618841,16.371849,0.002669,4.046214,0.00033
767.559082,1.615511,16.351152,0.001811,4.043656,0.000224
769.137756,1.612195,16.330727,0.00112,4.04113,0.000139
770.71637,1.608893,16.310585,0.000596,4.038637,0.000074
772.2948,1.605604,16.290741,0.000237,4.036179,0.000029
773.873169,1.60233,16.271215,0.000041,4.03376,0.000005
775.451416,1.599069,16.25206,0,4.031384,0
777.029541,1.595821,16.233311,0,4.029058,0
778.607544,1.592587,16.214888,0,4.026772,0
780.185486,1.589366,16.196756,0,4.024519,0
781.763306,1.586158,16.178898,0,4.0223,0
783.341003,1.582963,16.161295,0,4.020111,0
784.918579,1.579782,16.143934,0,4.017951,0
786.496094,1.576613,16.126808,0,4.01582,0
788.073425,1.573457,16.109905,0,4.013714,0
789.650696,1.570315,16.093218,0,4.011635,0
791.227844,1.567184,16.076738,0,4.009581,0
792.80481,1.564067,16.060463,0,4.007551,0
794.381714,1.560962,16.044382,0,4.005544,0
795.958557,1.55787,16.028492,0,4.00356,0
797.535278,1.55479,16.012789,0,4.001598,0
799.111816,1.551723,15.997265,0,3.999658,0
800.688293,1.548668,15.981917,0,3.997739,0
802.264587,1.545625,15.966743,0,3.995841,0
803.84082,1.542594,15.951735,0,3.993962,0
805.416931,1.539575,15.936893,0,3.992104,0
806.99292,1.536569,15.922211,0,3.990264,0
